time,streamflow
2010-10-06,0.455
2010-10-07,0.445
2010-10-08,0.45704166666666673
2010-10-09,0.49537500000000007
2010-10-10,0.5430833333333334
2010-10-11,0.614375
2010-10-12,0.5891666666666667
2010-10-13,0.5605
2010-10-14,0.473625
2010-10-15,0.47675
2010-10-16,0.45450000000000007
2010-10-17,0.4463333333333333
2010-10-18,0.4199583333333334
2010-10-19,0.4080416666666667
2010-10-20,0.42050000000000004
2010-10-21,0.44316666666666665
2010-10-22,0.43862500000000004
2010-10-23,0.3953333333333333
2010-10-24,0.3706666666666667
2010-10-25,0.34700000000000003
2010-10-26,0.3389166666666667
2010-10-27,0.3385416666666667
2010-10-28,0.33183333333333337
2010-10-29,0.32558333333333334
2010-10-30,0.31720833333333337
2010-10-31,0.321875
2010-11-01,0.3212916666666667
2010-11-02,0.32108333333333333
2010-11-03,0.319625
2010-11-04,0.31179166666666663
2010-11-05,0.35933333333333334
2010-11-06,0.596375
2010-11-07,0.4215
2010-11-08,0.35279166666666667
2010-11-09,0.32879166666666665
2010-11-10,0.314875
2010-11-11,0.3026666666666667
2010-11-12,0.28925000000000006
2010-11-13,0.28120833333333334
2010-11-14,0.2707916666666667
2010-11-15,0.27220833333333333
2010-11-16,0.2717083333333334
2010-11-17,0.2770416666666667
2010-11-18,0.2729166666666667
2010-11-19,0.27020833333333333
2010-11-20,0.27237500000000003
2010-11-21,0.2783333333333334
2010-11-22,0.2675
2010-11-23,0.26975
2010-11-24,0.26816666666666666
2010-11-25,0.25275
2010-11-26,0.2404166666666667
2010-11-27,0.23208333333333334
2010-11-28,0.2257916666666667
2010-11-29,0.22391666666666668
2010-11-30,0.22154166666666666
2010-12-01,0.21545833333333334
2010-12-02,0.212375
2010-12-03,0.25270833333333337
2010-12-04,0.23604166666666668
2010-12-05,0.23145833333333335
2010-12-06,0.2316666666666667
2010-12-07,0.22325000000000003
2010-12-08,0.21075000000000002
2010-12-09,0.20925000000000002
2010-12-10,0.20579166666666668
2010-12-11,0.198375
2010-12-12,0.19162500000000002
2010-12-13,0.19016666666666668
2010-12-14,0.186875
2010-12-15,0.19270833333333334
2010-12-16,0.20783333333333334
2010-12-17,0.22087500000000002
2010-12-18,0.21633333333333335
2010-12-19,0.21404166666666669
2010-12-20,0.21225000000000002
2010-12-21,0.20808333333333337
2010-12-22,0.1985416666666667
2010-12-23,0.19987500000000002
2010-12-24,0.19575
2010-12-25,0.19575
2010-12-26,0.19662500000000002
2010-12-27,0.20125
2010-12-28,0.20791666666666667
2010-12-29,0.20333333333333337
2010-12-30,0.19370833333333334
2010-12-31,0.19566666666666666
2011-01-01,0.19833333333333333
2011-01-02,0.19120833333333334
2011-01-03,0.18929166666666666
2011-01-04,0.18379166666666666
2011-01-05,0.18470833333333334
2011-01-06,0.17916666666666667
2011-01-07,0.16758333333333333
2011-01-08,0.16245833333333334
2011-01-09,0.15558333333333332
2011-01-10,0.15995833333333334
2011-01-11,0.17279166666666668
2011-01-12,0.204375
2011-01-13,0.21158333333333335
2011-01-14,0.216
2011-01-15,0.22208333333333333
2011-01-16,0.22354166666666667
2011-01-17,0.24054166666666668
2011-01-18,0.29491666666666666
2011-01-19,0.2589166666666667
2011-01-20,0.25733333333333336
2011-01-21,0.2664166666666667
2011-01-22,0.27908333333333335
2011-01-23,0.283125
2011-01-24,0.27537500000000004
2011-01-25,0.26104166666666667
2011-01-26,0.23933333333333337
2011-01-27,0.22529166666666667
2011-01-28,0.21683333333333332
2011-01-29,0.2034166666666667
2011-01-30,0.19458333333333333
2011-01-31,0.184875
2011-02-01,0.17045833333333335
2011-02-02,0.15854166666666666
2011-02-03,0.16608333333333333
2011-02-04,0.16370833333333334
2011-02-05,0.16529166666666667
2011-02-06,0.14708333333333334
2011-02-07,0.2044166666666667
2011-02-08,0.15787500000000002
2011-02-09,0.15729166666666666
2011-02-10,0.13783333333333334
2011-02-11,0.13491666666666668
